"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
77,"Red Runner","Wayne Snow","rap/trap music",45,0.698,0.891,0.55,0.112,0.247,-10.418,0.101,0.141,125.001,247680
78,"The Rhythm","Wayne Snow","rap/trap music",23,0.643,0.75,0.567,0.726,0.442,-10.731,0.225,0.0112,117.893,224827
79,Rosie,"Wayne Snow","rap/trap music",20,0.422,0.895,0.403,0.0672,0.00749,-9.516,0.358,0.163,90.988,197802
80,Fall,"Wayne Snow","rap/trap music",20,0.456,0.79,0.578,0.247,0.178,-10.649,0.312,0.852,127.592,178096
81,"Nothing Wrong","Wayne Snow","rap/trap music",33,0.824,0.763,0.645,0.0941,0.159,-10.253,0.0508,0.0944,118.033,192849
82,"Freedom R.I.P","Wayne Snow","rap/trap music",27,0.263,0.754,0.526,0.095,0.189,-10.688,0.092,0.0135,120.039,281001
83,"Nothing But The Best","Wayne Snow","rap/trap music",17,0.896,0.685,0.473,0.475,0.0529,-11.49,0.262,0.366,141.959,182395
84,"The Doctrines Of Swedenborg","Hieroglyphic Being/Sarathy Korwar/Shabaka Hutchings","rap/trap music",20,0.236,0.457,0.639,0.431,0.866,-11.066,0.0869,0.00205,100.061,468066
85,"Calling The Loas","Hieroglyphic Being/Sarathy Korwar/Shabaka Hutchings","rap/trap music",19,0.473,0.619,0.775,0.211,0.941,-9.222,0.0415,0.0505,99.954,292371
86,"Dimensions Of Frequency & Vibrations","Hieroglyphic Being/Sarathy Korwar/Shabaka Hutchings","rap/trap music",17,0.418,0.343,0.871,0.111,0.908,-9.024,0.0523,0.879,99.337,489948
87,Ashrams,"Hieroglyphic Being/Sarathy Korwar/Shabaka Hutchings","alternative hip hop/escape room",24,0.842,0.401,0.67,0.0864,0.0345,-9.117,0.0728,0.136,110.996,263525
88,Tobago,"Egyptian Hip Hop","alternative hip hop/escape room",0,0.875,0.593,0.782,0.106,0.235,-8.487,0.0274,0.0271,114.022,207556
89,"White Falls live","Egyptian Hip Hop","alternative hip hop/escape room",0,0.0613,0.159,0.569,0.167,0.24,-8.688,0.042,0.0324,99.952,436854
90,Outro,"Egyptian Hip Hop","alternative hip hop/escape room",0,0.744,0.959,0.545,0.0896,0.937,-11.41,0.0933,0.0319,113.993,173423
91,"Moon Crooner","Egyptian Hip Hop","alternative hip hop/escape room",18,0.63,0.605,0.893,0.318,0.000402,-4.683,0.0386,0.181,130.003,222093
92,"Rad Pitt","Egyptian Hip Hop","alternative hip hop/escape room",30,0.505,0.651,0.697,0.111,0.05,-8.4,0.0278,0.248,119.934,216787
93,"Middle Name Period","Egyptian Hip Hop","alternative hip hop/escape room",19,0.805,0.564,0.811,0.187,0.822,-7.629,0.0396,0.0066,153.96,281067
94,Native,"Egyptian Hip Hop","alternative hip hop/escape room",9,0.939,0.739,0.681,0.0663,0.608,-7.84,0.0337,0.149,139.947,363133
95,"Minuano (Six Eight)","Pat Metheny Group","alternative hip hop/escape room",41,0.304,0.341,0.368,0.0536,0.0471,-13.505,0.0307,0.823,155.898,566427
96,"So May It Secretly Begin","Pat Metheny Group","alternative hip hop/escape room",37,0.748,0.577,0.476,0.115,0.472,-15.371,0.0296,0.78,145.389,384893
97,"Last Train Home","Pat Metheny Group","alternative hip hop/escape room",50,0.305,0.407,0.489,0.0538,0.922,-14.657,0.0297,0.678,80.052,338187
98,"(It's Just) Talk","Pat Metheny Group","alternative hip hop/escape room",35,0.645,0.622,0.629,0.298,0.66,-11.096,0.0275,0.781,137.087,375533
99,"Third Wind","Pat Metheny Group","alternative hip hop/escape room",33,0.815,0.296,0.699,0.0469,0.895,-11.233,0.0342,0.513,152.998,513000
100,Distance,"Pat Metheny Group","alternative hip hop/escape room",27,0.0249,0.16,0.0656,0.0621,0.976,-25.44,0.0358,0.959,108.264,165680
101,"In Her Family","Pat Metheny Group","contemporary jazz/contemporary post-bop/cool jazz/jazz/jazz fusion/jazz guitar",31,0.0393,0.365,0.033,0.133,0.799,-19.918,0.0345,0.99,80.939,198813
102,"Above the Treetops","Pat Metheny Group","contemporary jazz/contemporary post-bop/cool jazz/jazz/jazz fusion/jazz guitar",41,0.277,0.232,0.328,0.364,0.803,-16.538,0.0366,0.097,129.829,163920
103,"Facing West","Pat Metheny Group","contemporary jazz/contemporary post-bop/cool jazz/jazz/jazz fusion/jazz guitar",34,0.369,0.559,0.526,0.108,0.225,-11.955,0.0293,0.602,123.467,365613
104,"Cathedral in a Suitcase","Pat Metheny Group","contemporary jazz/contemporary post-bop/cool jazz/jazz/jazz fusion/jazz guitar",32,0.0384,0.447,0.3,0.0887,0.0302,-14.734,0.0326,0.328,120.89,292320
105,"Finding and Believing","Pat Metheny Group","contemporary jazz/contemporary post-bop/cool jazz/jazz/jazz fusion/jazz guitar",31,0.401,0.515,0.599,0.081,0.0694,-11.2,0.0311,0.312,96.859,598347
106,"The Longest Summer","Pat Metheny Group","contemporary jazz/contemporary post-bop/cool jazz/jazz/jazz fusion/jazz guitar",33,0.146,0.345,0.447,0.315,0.688,-12.176,0.037,0.709,126.054,391667
107,Sunlight,"Pat Metheny Group","contemporary jazz/contemporary post-bop/cool jazz/jazz/jazz fusion/jazz guitar",29,0.644,0.662,0.657,0.0693,0.919,-10.758,0.0324,0.676,131.849,232907
108,"Rain River","Pat Metheny Group","contemporary jazz/contemporary post-bop/cool jazz/jazz/jazz fusion/jazz guitar",29,0.369,0.588,0.529,0.0821,0.902,-13.619,0.0303,0.747,124.909,429440
109,"Always and Forever","Pat Metheny Group","contemporary jazz/contemporary post-bop/cool jazz/jazz/jazz fusion/jazz guitar",45,0.112,0.305,0.0484,0.109,0.834,-19.119,0.0319,0.927,83.1,324840
110,"See the World","Pat Metheny Group","contemporary jazz/contemporary post-bop/cool jazz/jazz/jazz fusion/jazz guitar",29,0.347,0.541,0.461,0.0923,0.781,-12.036,0.0267,0.951,147.239,288253
111,"As a Flower Blossoms (I Am Running to You)","Pat Metheny Group","contemporary jazz/contemporary post-bop/cool jazz/jazz/jazz fusion/jazz guitar",26,0.424,0.587,0.144,0.143,0.767,-20.828,0.0459,0.838,75.302,113867
112,Antonia,"Pat Metheny Group","contemporary jazz/contemporary post-bop/cool jazz/jazz/jazz fusion/jazz guitar",29,0.247,0.447,0.157,0.0421,0.867,-15.304,0.0492,0.935,100.359,371400
113,"The Truth Will Always Be","Pat Metheny Group","alternative metal/industrial/industrial metal/industrial rock/nu metal/rap metal/rock/wrestling",31,0.222,0.415,0.415,0.134,0.931,-9.301,0.0298,0.71,88.534,555733
114,"Tell Her You Saw Me","Pat Metheny Group","alternative metal/industrial/industrial metal/industrial rock/nu metal/rap metal/rock/wrestling",28,0.0747,0.108,0.0677,0.106,0.974,-21.498,0.0408,0.984,81.84,306240
115,"Not to Be Forgotten (Our Final Hour)","Pat Metheny Group","alternative metal/industrial/industrial metal/industrial rock/nu metal/rap metal/rock/wrestling",26,0.0347,0.171,0.115,0.102,0.938,-16.734,0.0424,0.95,94.242,142453
116,"Back In Time","Pat Metheny Group","alternative metal/industrial/industrial metal/industrial rock/nu metal/rap metal/rock/wrestling",28,0.122,0.384,0.177,0.108,0.65,-15.275,0.0304,0.71,71.514,318400
117,"Look Ahead (F Csus)","Pat Metheny Group","alternative metal/industrial/industrial metal/industrial rock/nu metal/rap metal/rock/wrestling",26,0.25,0.549,0.302,0.072,0.819,-13.056,0.0288,0.861,154.472,241227
118,Understanding,"Pat Metheny Group","alternative metal/industrial/industrial metal/industrial rock/nu metal/rap metal/rock/wrestling",24,0.125,0.263,0.142,0.096,0.931,-18.352,0.0355,0.985,112.166,134173
119,"A Change In Circumstance","Pat Metheny Group","alternative metal/industrial/industrial metal/industrial rock/nu metal/rap metal/rock/wrestling",22,0.0978,0.204,0.248,0.259,0.952,-13.11,0.0355,0.925,48.39,75827
120,"Et Si C'etait La Fin (As If It Was The End)","Pat Metheny Group","alternative metal/industrial/industrial metal/industrial rock/nu metal/rap metal/rock/wrestling",25,0.494,0.639,0.436,0.0542,0.000135,-9.949,0.0322,0.236,130.029,219867
121,Two®,"Lil Uzi Vert","alternative metal/industrial/industrial metal/industrial rock/nu metal/rap metal/rock/wrestling",63,0.0371,0.266,0.642,0.0943,0,-5.133,0.0694,0.424,75.022,185276
122,444+222,"Lil Uzi Vert","alternative metal/industrial/industrial metal/industrial rock/nu metal/rap metal/rock/wrestling",69,0.481,0.791,0.513,0.101,2.83E-5,-6.568,0.269,0.0235,76.997,247347
