"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
80,Clocks,Coldplay,"album rock/classic rock/glam rock/hard rock/metal/rock",76,0.261,0.577,0.749,0.183,0.0112,7.215,0.0279,0.599,130.969,307880
81,"I Will Survive - Rerecorded","Gloria Gaynor","album rock/mellow gold/new wave pop/rock/soft rock",62,0.576,0.673,0.752,0.112,0,7.978,0.0491,0.00309,120.041,265027
82,"Killing Me Softly With His Song",Fugees,"australian rock",72,0.506,0.765,0.29,0.571,1.02E-6,17.117,0.139,0.0279,92.409,298773
83,"Every Breath You Take - Remastered 2003","The Police","boy band/dance pop/europop/pop",81,0.74,0.82,0.452,0.0701,0.00294,9.796,0.0348,0.543,117.401,253250
84,"Tears In Heaven","Eric Clapton","alternative dance/australian dance/electronic/indietronica/neo-psychedelic/new rave",74,0.422,0.695,0.336,0.701,0.00264,12.999,0.0313,0.8,79.109,280000
85,"Girls On Film - 2010 Remastered Version","Duran Duran","alternative rock/grunge/permanent wave/post-grunge/rock",62,0.53,0.725,0.859,0.048,0.0137,6.208,0.0636,0.0173,131.697,212853
86,"The Real Thing","Russell Morris","album rock/art rock/classic rock/dance rock/mellow gold/new wave/permanent wave/rock/soft rock",36,0.383,0.432,0.709,0.325,9.84E-5,5.201,0.0347,0.104,165.931,274800
87,MMMBop,Hanson,"dance pop/dance rock/europop/mellow gold/new wave pop/permanent wave/pop rock/soft rock",19,0.628,0.685,0.948,0.17,0.00347,5.182,0.0457,0.00513,104.881,267947
88,Everlong,"Foo Fighters","australian alternative rock/australian pop/australian rock/dance rock/mellow gold/permanent wave/pop rock/rock/soft rock",78,0.356,0.412,0.882,0.0805,0.00031,5.54,0.0369,5.96E-5,158.066,250547
89,"Wake Me up Before You Go-Go",Wham!,"australian rock/garage rock/post-punk/power pop/protopunk/pub rock/punk/punk blues/uk post-punk",79,0.9,0.62,0.574,0.0607,0,11.893,0.0421,0.272,81.548,231333
90,Rehab,"Amy Winehouse","garage rock/indie rock/modern rock/rock",36,0.732,0.434,0.872,0.396,1.83E-6,2.974,0.0702,0.0473,71.515,213760
91,"Are You Gonna Go My Way","Lenny Kravitz",pop,75,0.777,0.619,0.67,0.331,0.0109,10.319,0.0353,0.00165,129.267,211933
92,"My Generation - Original Mono Version","The Who","christmas/deep funk/funk/motown/quiet storm/soul",19,0.745,0.332,0.822,0.161,9.33E-5,6.558,0.0988,0.165,96.253,197320
93,"Bitter Sweet Symphony","The Verve","alternative rock/permanent wave/pop rock/rock",33,0.524,0.389,0.889,0.463,0,6.546,0.0442,0.0415,171.121,358427
94,"Straight Lines",Silverchair,"album rock/australian rock/hard rock/rock",59,0.16,0.538,0.641,0.11,0.00149,6.582,0.0287,0.0275,127.505,257733
95,"You Oughta Know","Alanis Morissette","alternative metal/funk metal/funk rock/grunge/hard rock/rap rock/rock/wrestling",54,0.473,0.641,0.861,0.868,0,6.9,0.0697,0.228,105.316,249760
96,"Billie Jean","Michael Jackson","album rock/classic rock/dance rock/heartland rock/mellow gold/new wave pop/rock/soft rock",84,0.847,0.92,0.654,0.0359,0.0158,3.051,0.0401,0.0236,117.046,293827
97,"Thinking Out Loud","Ed Sheeran","hip pop/neo soul/pop/r&b/urban contemporary",86,0.591,0.781,0.445,0.184,0,6.061,0.0295,0.474,78.998,281560
98,"Sweet Caroline","Neil Diamond","dance rock/new wave pop/soft rock",35,0.578,0.529,0.127,0.237,0.000109,16.066,0.0274,0.611,63.05,203573
99,"Money For Nothing","Dire Straits","australian alternative rock/australian rock/dance rock/mellow gold/new romantic/new wave/new wave pop/rock/soft rock",33,0.679,0.666,0.667,0.074,0.0005,9.305,0.0371,0.043,134.219,510933
100,"Song 2",Blur,"album rock/art rock/british invasion/classic rock/dance rock/folk rock/glam rock/mellow gold/protopunk/psychedelic rock/rock/roots rock",65,0.855,0.658,0.709,0.0657,0.00447,6.736,0.0904,0.00188,129.699,121880
101,"Message To My Girl","Split Enz","britpop/madchester/permanent wave/rock",1,0.349,0.584,0.69,0.639,1.53E-5,6.401,0.0231,0.201,99.56,293027
102,"I Knew You Were Waiting (For Me)","George Michael/Aretha Franklin","dance rock/new romantic/new wave/new wave pop/synthpop",53,0.733,0.71,0.639,0.172,0,12.839,0.045,0.23,107.947,241000
103,"Stand By Me - Remastered","John Lennon","australian alternative rock/dance rock/kiwi rock/zolo",63,0.633,0.632,0.556,0.0779,0.0215,10.138,0.0288,0.29,104.996,211667
104,"Take On Me",a-ha,"irish rock/permanent wave/rock",85,0.876,0.573,0.902,0.0928,0.00125,7.638,0.054,0.018,84.412,225280
105,"Walk On the Wild Side","Lou Reed","brill building pop/christmas/classic girl group/disco/folk rock/funk/motown/quiet storm/soul",73,0.385,0.575,0.318,0.0934,0.000202,16.729,0.109,0.683,104.522,254173
106,Gloria,"Van Morrison",pop,34,0.884,0.673,0.665,0.118,0.00553,7.473,0.0398,0.0438,131.944,319973
107,"Angie - Remastered 2009","The Rolling Stones","alternative rock/grunge/permanent wave/post-grunge/rock",30,0.407,0.429,0.554,0.105,0.000152,6.128,0.0291,0.67,136.302,272000
108,"Dumb Things","Paul Kelly","dub/reggae/roots reggae/ska",56,0.761,0.44,0.901,0.174,0.000232,4.931,0.0835,0.0101,153.514,150333
109,"Blue Sky Mine - Remastered","Midnight Oil","alternative rock/permanent wave/pop rock/rock",45,0.811,0.669,0.775,0.118,0.00349,6.059,0.0275,0.0388,132.019,260160
110,"Candle In The Wind - Remastered 2014","Elton John","album rock/mellow gold/rock/soft rock",15,0.529,0.601,0.532,0.101,2.65E-5,9.718,0.0283,0.191,124.53,228933
111,"With Or Without You - Remastered",U2,"dance rock/new wave pop/soft rock",34,0.116,0.538,0.432,0.139,0.309,11.882,0.0295,0.000185,110.181,295520
112,"Mamma Mia",ABBA,"alternative rock/art rock/new wave/permanent wave/rock",30,0.782,0.748,0.771,0.466,0.000333,7.01,0.0318,0.28,137.543,215110
113,"Cheap Wine - 2011 Remastered","Cold Chisel","brill building pop/folk rock/psychedelic rock/rock",38,0.815,0.681,0.893,0.213,0,3.519,0.037,0.178,123.651,205132
114,"The Horses - Remastered","Daryl Braithwaite","brill building pop/bubblegum pop/christmas/classic rock/folk rock/mellow gold/psychedelic rock/rock/rock-and-roll/soft rock",50,0.211,0.705,0.411,0.0604,0,9.237,0.034,0.284,94.023,255720
115,"Hey Ya!",OutKast,"alternative rock/classic rock/dance rock/new wave/permanent wave/punk/rock",58,0.966,0.744,0.916,0.253,0,4.911,0.0563,0.0349,79.456,228004
116,"In the Ghetto","Elvis Presley",hollywood,53,0.418,0.477,0.415,0.104,0.00356,10.592,0.0313,0.754,87.907,177573
117,Epic,"Faith No More","dance rock/disco/europop/mellow gold/new romantic/new wave/new wave pop/rock/soft rock/synthpop",53,0.262,0.358,0.893,0.126,0.0524,7.486,0.12,0.0222,174.238,293653
118,"Crazy In Love","Beyoncé/JAY Z","album rock/classic rock/hard rock/rock",79,0.681,0.646,0.77,0.0715,0,6.596,0.226,0.00249,99.165,236133
119,Thunderstruck,AC/DC,"art rock/dance rock/folk rock/mellow gold/new wave/new wave pop/power pop/pub rock/rock/roots rock",82,0.257,0.501,0.889,0.217,0.0114,5.175,0.0364,0.000147,133.519,292880
120,Holiday,Madonna,"new wave pop",63,0.946,0.854,0.796,0.151,0.00184,5.567,0.0399,0.0542,115.625,368280
121,"Weather With You","Crowded House","dance pop/pop/pop rap",68,0.891,0.643,0.614,0.214,7.17E-6,12.878,0.0279,0.25,93.981,224467
122,"Dreams - 2004 Remastered Edition","Fleetwood Mac","australian pop/australian rock",80,0.789,0.828,0.492,0.128,0.00428,9.744,0.0276,0.0644,120.151,257800
123,Torn,"Natalie Imbruglia","album rock/blues-rock/classic rock/hard rock/mellow gold/rock/southern rock",72,0.599,0.559,0.928,0.696,5.56E-5,3.04,0.0355,0.0746,96.315,244813
124,"Changes - 2015 Remastered Version","David Bowie","glam metal/rock",64,0.41,0.547,0.308,0.109,0,11.75,0.0377,0.505,114.719,217747
125,"Ironic - 2015 Remaster","Alanis Morissette","australian dance/australian pop/europop/french pop",54,0.365,0.408,0.582,0.159,0,8.305,0.0508,0.218,114.926,230000
126,"You Better You Bet","The Who","heartland rock/mellow gold/permanent wave/rock/singer-songwriter",8,0.57,0.579,0.762,0.064,4.42E-5,8.551,0.0433,0.492,161.95,338560
127,"L.A. Woman","The Doors","dance pop/neo mellow/piano rock/pop/pop quebecois/pop rap/pop rock",66,0.698,0.354,0.731,0.115,0.00119,9.178,0.0381,0.0817,170.64,471160
128,"You Give Love A Bad Name","Bon Jovi","album rock/british invasion/classic rock/protopunk/rock",26,0.805,0.559,0.825,0.363,0,10.725,0.0401,0.0771,122.821,223733
129,"I Heard It Through The Grapevine","Marvin Gaye","album rock/glam metal/hard rock/rock/swedish hard rock",69,0.679,0.729,0.324,0.101,0,13.017,0.0393,0.195,116.855,195267
130,"I Was Made For Lovin' You",KISS,pop,35,0.867,0.768,0.852,0.0723,7.45E-5,6.215,0.038,0.213,128.374,271240
131,Footloose,"Kenny Loggins","art rock/dance rock/new romantic/new wave/new wave pop/permanent wave/rock/soft rock/synthpop",73,0.582,0.564,0.911,0.118,4.36E-5,5.39,0.0536,0.159,173.938,226293
132,"Evie Pt. 1 (Let Your Hair Hang Down)","Stevie Wright","art rock/dance rock/glam rock/new wave/permanent wave/protopunk/rock",8,0.751,0.461,0.948,0.508,0.000269,4.615,0.129,0.0317,90.364,237987
133,"Everybody (Backstreet's Back) - Extended Version","Backstreet Boys","australian alternative rock/australian rock/dance rock/mellow gold/new romantic/new wave/new wave pop/rock/soft rock",61,0.509,0.792,0.811,0.224,0.000155,5.198,0.0367,0.00602,108.054,287293
134,"Since I Left You","The Avalanches","pop rap/rap",15,0.481,0.519,0.911,0.826,0,7.228,0.0593,0.246,102.81,260947
135,"Come As You Are",Nirvana,"disco/europop/new wave pop/soft rock",77,0.539,0.5,0.824,0.0916,0.00161,5.846,0.0388,0.00016,120.125,218920
136,"Roxanne - Remastered 2003","The Police","glam rock/rock",73,0.662,0.618,0.748,0.0477,4.1E-6,8.905,0.361,0.0384,134.001,191500
137,"True Colors","Cyndi Lauper","mellow gold",69,0.262,0.386,0.145,0.1,0.000196,16.94,0.0362,0.792,171.63,226067
138,"Fall At Your Feet","Crowded House","dance pop/electropop/hip pop/indie r&b/neo soul/pop/r&b/urban contemporary",60,0.561,0.65,0.371,0.102,0.0116,13.623,0.026,0.457,102.583,198800
139,"(I'm) Stranded - 2004 Digital Remaster","The Saints","australian alternative rock/australian rock/dance rock",36,0.425,0.397,0.958,0.273,0,3.846,0.0437,0.0043,87.096,210547
140,"Sex on Fire","Kings of Leon","mellow gold/soft rock",81,0.374,0.542,0.905,0.136,0.0104,5.653,0.054,0.00172,153.398,203347
141,"Beat It - Single Version","Michael Jackson","australian indigenous/australian pop/australian rock",79,0.915,0.779,0.867,0.197,7.98E-6,3.704,0.0457,0.0491,138.858,258040
142,"I Got You (I Feel Good)","James Brown","adult standards/bubblegum pop/disco/folk/folk rock/mellow gold/soft rock",19,0.707,0.573,0.592,0.0956,4.17E-6,6.724,0.13,0.44,144.408,167347
143,"Everybody Hurts",R.E.M.,"east coast hip hop/hardcore hip hop/hip hop/old school hip hop/rap",31,0.178,0.303,0.319,0.114,0.0306,10.435,0.0282,0.65,188.348,320267
144,"You Shook Me All Night Long",AC/DC,"indie rock/modern rock/permanent wave/rock/vegas indie",74,0.769,0.529,0.768,0.297,0.000685,5.51,0.0566,0.00224,127.316,210880
145,"Love Rears Its Ugly Head","Living Colour","folk-pop/lilith/mellow gold/new wave pop/permanent wave/pop rock/rock",51,0.731,0.615,0.477,0.231,6.25E-5,8.816,0.092,0.0558,156.008,259467
146,"Love Is A Battlefield - 2005 Digital Remaster","Pat Benatar",---,44,0.863,0.679,0.875,0.0801,0.000189,4.25,0.0556,0.0408,90.71,249533
147,"Empire State of Mind (Part II) Broken Down","Alicia Keys","glam rock/mellow gold/piano rock/rock/soft rock",72,0.142,0.479,0.368,0.118,4.1E-5,7.784,0.0341,0.739,92.959,216480
148,"Don't Let the Sun Go Down on Me","George Michael/Elton John","alternative metal/alternative rock/modern rock/nu metal/permanent wave/pop rock/post-grunge/rock",52,0.26,0.435,0.547,0.544,0,8.092,0.0287,0.494,135.453,346813
149,"Original Sin",INXS,"dance rock/new romantic/new wave/new wave pop/rock/soft rock/synthpop",56,0.731,0.685,0.633,0.0935,0.000106,7.259,0.0377,0.0136,131.397,317240
150,"Lola - Remastered","The Kinks","europop/swedish pop",58,0.935,0.468,0.839,0.151,0.461,7.39,0.0365,0.459,151.842,242027
151,"Another One Bites The Dust - Remastered 2011",Queen,"dance rock/new romantic/new wave/new wave pop/synthpop",80,0.754,0.933,0.528,0.163,0.312,6.472,0.161,0.112,109.967,214653
152,"No Scrubs",TLC,"album rock/classic rock/hard rock/rock",81,0.59,0.743,0.675,0.0685,0.000717,4.267,0.0953,0.0251,92.909,214400
