"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
12,"Wonder Woman","The Maghreban","float house/fluxwork/outsider house",15,0.677,0.777,0.966,0.197,0.908,6.814,0.0578,0.000322,121.048,445795
13,"Sun Go Down","Fat Night",---,52,0.755,0.792,0.657,0.31,1.02E-5,7.181,0.0281,0.404,111.998,222321
14,"Dang! (feat. Anderson .Paak) - Radio Edit","Mac Miller/Anderson .Paak","hip hop/pop rap/rap",44,0.53,0.78,0.731,0.0987,1.31E-6,6.333,0.305,0.0236,106.898,241118
15,"Loving Like This",Sabella,"indie electro-pop",19,0.23,0.494,0.522,0.0945,4.3E-5,8.012,0.0367,0.318,98.853,172595
16,"Keri Baby","A. G. Cook/Hannah Diamond","escape room",31,0.833,0.706,0.819,0.266,7.61E-6,6.323,0.0747,0.00351,93.162,130200
17,Francis,Houndstooth,"portland indie",30,0.48,0.531,0.829,0.0996,0.904,5.562,0.0279,0.488,134.622,291027
18,"Wiggle Room","Drug Cabin",---,30,0.667,0.696,0.662,0.162,0.767,7.174,0.0318,0.648,97.313,153200
19,"Life Partner","Teams/Star Slinger","chillwave/future funk/indie dream pop/vaporwave",11,0.233,0.742,0.878,0.604,0.000126,7.573,0.578,0.0219,107.967,262227
20,"Another Day in the Sun","Jagwar Ma/Dreems","alternative dance/australian alternative rock/indietronica",16,0.0945,0.6,0.68,0.123,0.00416,7.512,0.0286,0.000372,128.973,356009
21,"Never Been Any Reason","Head East","album rock/classic rock/country rock/hard rock/mellow gold/rock/soft rock/southern rock",47,0.921,0.519,0.453,0.133,0.00166,12.45,0.0401,0.000671,134.844,310267
22,Dive,Village,"neurostep/vapor twitch",16,0.126,0.531,0.687,0.272,0.342,6.681,0.0403,0.0402,139.911,274299
23,"Your Love","Mick Jenkins","conscious hip hop/drill/escape room/hip hop/indie r&b/rap/underground hip hop",47,0.639,0.652,0.454,0.14,0,5.95,0.16,0.0505,95.063,194143
24,"Second Chance","Peter Bjorn and John","alternative dance/dance-punk/folk-pop/indie pop/indie rock/indietronica/modern rock/new rave/swedish alternative rock/swedish indie pop",44,0.771,0.587,0.965,0.097,0.00296,1.542,0.0885,0.0204,132.826,252853
25,"Learning To Love - Radio Edit","LA Priest","dance-punk/new rave",37,0.845,0.805,0.674,0.338,0.0362,7.814,0.105,0.137,120.396,210924
26,"New Name",Sinkane,---,2,0.523,0.481,0.652,0.381,0.00371,7.598,0.0522,0.0059,114.058,183693
27,"Half Moon Rising","Fatima Yamaha","float house",40,0.911,0.665,0.729,0.103,0.912,8.75,0.0502,0.0186,128.03,318952
28,"Silsile Mulaqaton Ke","Udit Narayan/Alka Yagnik","chutney/desi/desi hip hop/filmi/indian pop/modern bollywood/nepali/sufi",15,0.574,0.399,0.682,0.228,0,8.006,0.137,0.416,87.057,355013
29,"Vuli Ndlela",Brenda,---,22,0.785,0.77,0.832,0.0838,0.0516,6.794,0.0543,0.0388,105.951,265773
30,"Love Story (Radio Edit)","Layo & Bushwacka!","big beat/breakbeat/tech house",40,0.193,0.628,0.85,0.548,0.176,7.258,0.0357,0.0438,132.023,201587
31,"Drop That Kick - Original Mix",Moombahteam/Brainpower,---,18,0.269,0.887,0.8,0.0806,0.0101,5.829,0.131,0.000805,109.984,152421
32,"Two Doors","Alex Mercado Trio/Scott Colley/Antonio Sánchez",---,9,0.197,0.366,0.355,0.124,0.888,15.663,0.0331,0.727,127.027,400293
33,"Alma Do Meu Pai","DJ Firmeza",batida/fluxwork,9,0.112,0.776,0.916,0.143,0.805,5.157,0.0633,0.188,143.031,389658
34,Falling,"Here We Go Magic","brooklyn indie/chillwave/freak folk/indietronica",14,0.554,0.484,0.871,0.164,0.953,9.359,0.051,0.0167,124.958,273013
35,Teacher,"MF Grimm","alternative hip hop",35,0.731,0.634,0.439,0.104,0,13.065,0.407,0.371,87.018,165790
36,"Indian Food","Dumbo Gets Mad","freak folk/indie garage rock/indietronica/neo-psychedelic",51,0.629,0.561,0.896,0.124,0.685,4.903,0.0528,0.765,86.808,213786
