"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
95,"I Know","Sammy Brue","Genres not available",62,0.445,0.644,0.523,0.093,0,7.66,0.0378,0.395,95.966,195107
96,"Let It Breathe","Water Liars","Genres not available",60,0.3,0.5,0.151,0.111,6.54E-5,16.107,0.0348,0.893,113.969,159646
97,Answers,"Brooke Annibale","Genres not available",60,0.265,0.495,0.161,0.105,1.33E-6,14.078,0.0301,0.765,94.286,205667
98,"Sudden Love (Acoustic)","The Woodlands","Genres not available",23,0.286,0.719,0.325,0.125,0,12.222,0.0355,0.847,130.534,182211
99,"Gentle on My Mind","Robert Ellis/Courtney Hartman","Genres not available",55,0.323,0.488,0.326,0.119,0.0157,12.02,0.0328,0.945,106.063,352280
100,"Up to Me","Sera Cahoone","Genres not available",60,0.581,0.64,0.381,0.104,0.000254,11.79,0.0302,0.911,91.49,193533
101,"We Are One","Ana Egge","Genres not available",56,0.282,0.322,0.287,0.0935,0.000597,14.051,0.0345,0.647,76.443,248403
102,"Thunderbolt's Goodnight","Josh Ritter","Genres not available",61,0.275,0.384,0.399,0.054,0.012,12.368,0.0317,0.849,101.209,245440
103,"Got Over","Dustbowl Revival","Genres not available",60,0.377,0.662,0.444,0.0859,1.15E-5,8.573,0.0258,0.667,134.021,286720
104,"Stay On My Shore","Joan Shelley","Genres not available",60,0.187,0.56,0.216,0.113,0.00486,11.108,0.0281,0.961,91.221,178387
